"estacion","sal_mor","lleg_mor","sal_mid","lleg_mid","sal_tar","lleg_tar","sal_noc","lleg_noc","distancia","dur_via","edades","prop"
242,309,187,258,350,320,344,45,68,2.4997870528109,13.0809199318569,34.2699822380107,0.268206039076377
243,138,82,106,77,76,84,8,11,2.11114864864865,11.2466216216216,35.5573294629898,0.335268505079826
244,193,61,130,121,77,154,6,30,2.55134146341463,12.7219512195122,38.0102505694761,0.26879271070615
245,101,195,169,164,161,92,22,23,2.38333333333333,10.4877589453861,33.3836538461538,0.256730769230769
246,356,407,327,289,340,264,30,81,2.60124892334195,11.1645133505599,33.7443157443157,0.187044187044187
247,97,332,197,174,225,100,31,14,2.44062968515742,11.6386806596702,33.9770023790642,0.260904044409199
248,260,178,214,207,278,176,36,52,2.70190947666195,12.8076379066478,33.4653652392947,0.290931989924433
249,193,263,246,202,245,180,69,31,2.42536231884058,12.0619235836627,32.6932668329177,0.218204488778055
250,184,510,313,317,330,189,43,33,2.80687716262976,12.0198961937716,32.8786885245902,0.270725995316159
251,209,105,192,147,138,203,36,25,2.59963636363636,11.6072727272727,34.5904995904996,0.208845208845209
252,129,204,193,215,190,144,23,21,3.51659159159159,11.9129129129129,33.2166796570538,0.22369446609509
253,215,319,278,306,241,172,39,19,3.31241970021413,11.855460385439,37.257360959651,0.187022900763359
254,356,75,186,251,136,332,25,97,3.02184895833333,13.953125,36.1977611940299,0.264392324093817
255,262,52,161,205,91,209,48,86,2.30471428571429,11.6571428571429,35.2427867698804,0.226600985221675
256,306,191,238,305,190,362,113,104,3.71955555555556,12.4995555555556,31.6967289719626,0.243457943925234
257,306,375,433,320,255,126,31,65,3.21261261261261,10.5395395395395,35.2693370165746,0.156998158379374
258,275,143,182,166,154,181,59,86,4.22703412073491,11.8031496062992,33.5309789343247,0.177819083023544
259,293,105,141,231,115,348,49,51,3.04113250283126,14.8301245753114,33.2607640994542,0.15767131594906
260,222,86,176,203,132,250,27,51,5.1581206171108,13.4614305750351,36.3294964028777,0.216546762589928
261,435,934,686,638,699,339,69,39,2.32611740707162,11.8485947416138,34.0999302811992,0.274692075296305
262,24,48,50,88,28,55,7,13,2.54703557312253,18.2371541501976,34.3825,0.2925
